Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,22.0,0.33719998598098755,"covid, get, tell, people, make, go, know, say, work, help","['possible', 'ever', 'dengue', 'fever', 'time', 'last', 'time', 'almost', 'kill', 'person', 'automatically', 'immune', 'covid']"
1,22.0,0.3910999894142151,"covid, get, tell, people, make, go, know, say, work, help","['ask', 'ask', 'friend', 'cancel', 'covid', 'test', 'arrange', 'covid', 'covidwale']"
2,22.0,0.34790000319480896,"covid, get, tell, people, make, go, know, say, work, help","['artist', 'get', 'attend', 'live', 'concert', 'hypothetical', 'post', 'covid', 'world', 'beyonce', 'else', 'worth']"
3,22.0,0.32710000872612,"covid, get, tell, people, make, go, know, say, work, help","['appreciate', 'effort', 'little', 'startup', 'mr', 'chris', 'withdraw', 'investment', 'help', 'also']"
4,22.0,0.33709999918937683,"covid, get, tell, people, make, go, know, say, work, help","['pandemic', 'birthday', 'remind', 'isolated', 'alone', 'plague', 'make', 'feel', 'congratulation', 'covid', 'officially', 'rob', 'thing', 'enjoy']"
5,22.0,0.3368000090122223,"covid, get, tell, people, make, go, know, say, work, help","['general', 'feel', 'individual', 'power', 'take', 'coronavirus', 'precaution', 'seriously', 'follow', 'poll', 'usa', 'unitedstate', 'coronavirus', 'covid', 'facemask', 'congress', 'house']"
6,22.0,0.36230000853538513,"covid, get, tell, people, make, go, know, say, work, help","['offer', 'lot', 'job', 'decline', 'health', 'reason', 'work', 'covid', 'patient', 'pray', 'holding', 'get', 'vaccine', 'kid', 'need', 'dad', 'die']"
7,23.0,0.31279999017715454,"let, come, try, show, happen, lockdown, big, trump, tweet, team","['year', 'tell', 'team', 'scout', 'try', 'backcap', 'stage', 'dustbowl', 'let', 'happen', 'anyway', 'prepared', 'feeling', 'futility', 'come', 'tweet', 'covid', 'stat', 'big', 'trump', 'news', 'day', 'moretf', 'analogy']"
8,22.0,0.32910001277923584,"covid, get, tell, people, make, go, know, say, work, help","['funniest', 'part', 'come', 'say', 'covid', 'bad', 'say', 'wrong', 'say', 'exactly', 'thing', 'different', 'way', 'lol', 'fact', 'mortality', 'rate', 'low', 'death', 'rate', 'survival_rate', 'lol', 'read', 'book']"
9,22.0,0.4075999855995178,"covid, get, tell, people, make, go, know, say, work, help","['masjid', 'today', 'brother', 'ask', 'imam', 'tell', 'make', 'mother', 'hospital', 'critical', 'condition', 'covid', 'break', 'cry', 'imam', 'make', 'announcement', 'pain', 'cry', 'still', 'get', 'thinking', 'lot']"
